ID,en,ar,zh-Hans,zh-Hant,de,es,fa,fr,he,id,it,ja,ko,hu,nl,no,pl,pt-br,ru,uk,fi,vi,tr
AchievementDesc94,Hire your 75th student.,وظف الطالب رقم 75 الخاص بك.,雇佣你的第75个学生。,僱傭你的第75個學生。,Stelle deinen 75. Studenten an.,Contratá 75 estudiantes.,75امین دانشجویتان را استخدام نمایید.,Recruter votre 75e étudiant.,גיוס התלמיד ה-75 שלך.,Pekerjakan mahasiswa Anda yang ke-75.,Assumi il tuo 75° studente.,75人目の学生を雇った,75번째 학생을 고용합니다.,Vegye fel a 75-adik hallgatóját.,Neem je 75e student aan.,Ansett din 75. student.,Przyjmij 75 studentów.,Contratar o 75o aluno.,Наймите 75-го студента.,Найміть 75-го студента.,Palkkaa 75. opiskelija,Thuê sinh viên thứ 75 của bạn.,75. öğrencini işe al.
AchievementTitle95,My Lab Is a Zoo,مختبري هو حديقة حيوان,我的实验室是个动物园,我的實驗室是個動物園,Mein Labor ist ein Zoo,Laboratorio lleno,آزمایشگاهم مثل یک باغ‌وحش شده!,Mon labo est un zoo,המעבדה שלי היא גן חיות,Lab Saya Seperti Kebun Binatang,Il mio laboratorio è uno zoo,私の研究室は、動物園,내 실험실은 동물원,A Laborom Egy Állatkert,Mijn Lab Is Een Dierentuin,Labben min er en dyrehage!,Moja pracownia to zoo,Meu laboratório é um zoológico,Моя Лаборатория - Зоопарк,Моя лабораторія - зоопарк,Laboratorioni On Eläintarha,Phòng thí nghiệm như một cái chợ,"Yavaş Be, Kaç Tane Alıyorsun!"
AchievementDesc95,Hire your 100th student.,وظف الطالب رقم 100 الخاص بك.,雇佣你的第100个学生。,僱傭你的第100個學生。,Stelle deinen 100. Studenten an.,Contratá 100 estudiantes.,100امین دانشجویتان را استخدام نمایید.,Recruter votre 100e étudiant.,גיוס התלמיד ה-100 שלך.,Pekerjakan mahasiswa Anda yang ke-100,Assumi il tuo 100° studente.,100人目の学生を雇った,100번째 학생을 고용합니다.,Vegye fel a 100-adik hallgatóját.,Neem je 100e student aan.,Ansett din 100. student.,Przyjmij 100 studentów.,Contratar o 100o aluno.,Наймите 100-го студента.,Найміть 100-го студента.,Palkkaa 100. opiskelija.,Thuê sinh viên thứ 100 của bạn.,100. öğrencini işe al.
AchievementTitle96,Cheap Labor,عمل بأجر قليل,廉价劳动力,廉價勞動力,Billige Arbeit,Mano de obra barata,کارگر مفتی,Main-d'oeuvre peu chère,כוח עבודה זול,Tenaga Kerja Murah,Manodopera a basso costo,安価な労働力,값싼 노동자,Olcsó munkaerő,Goedkope Arbeid,Billig arbeidskraft,Tania siła robocza,Mão de obra barata,Дешевая рабочая сила,Дешева робоча сила,Halpaa Työvoimaa,Nhân công giá rẻ,Ucuz İşçilik
AchievementDesc96,Graduate new students once.,اخرج طلاب جدد مرة واحدة.,毕业新生1次。,畢業新生1次。,Promoviere neue Studenten ein mal.,Gradua estudiantes por primera vez.,یک دانشجو را فارغ‌التحصیل کن.,Recrutez de nouveaux étudiants une fois.,גייס תלמידים חדשים פעם אחת.,Wisudakan mahasiswa sekali.,Conferisci la laurea a nuovi studenti una volta.,新しく学生が1回卒業,한 번 새 학생을 졸업하세요.,Lediplomáztass új hallgatókat egyszer.,Laat één keer nieuwe studenten afstuderen.,Uteksaminer nye studenter èn gang.,Przyjmij nowych studentów raz.,Formar novos alunos uma vez.,Выпустите нового студента один раз.,Випустіть нових студентів один раз.,Valmistuta uudet opiskelijat kerran.,Tốt nghiệp sinh viên mới một lần.,Yeni öğrencileri bir kez mezun et.
AchievementTitle97,Last Ones Were Not Good,الدفعة السابقة لم تكن جيدة,上一届是我带过的最差的一届,上一屆還不夠好,Die Letzten waren nicht gut.,Mejores que los anteriores,این چندتای آخر خیلی باهوش نبودن!,Les derniers étaient médiocres,האחרונים לא היה טובים,Yang Tadi Kurang Mantap,Gli ultimi non erano buoni,この前のは良くなかった,마지막 건 영 좋지 않았어요,Az Előzők Nem Voltak Jók,De Vorigen Waren Niet Goed,De forrige var ikke gode,Te ostatnie nie były dobre,Últimos não foram bons,Последние Были Не Хорошими,Останні були так собі,Viimeiset Eivät Olleet Hyviä,Những đứa cuối cùng không hề tốt,Sonuncular İyi Değildi.
AchievementDesc97,Graduate new students twice.,اخرج طلاب جدد مرتين.,毕业新生2次。,畢業新生2次。,Promoviere neue Studenten zwei mal.,Gradua estudiantes dos veces.,دو دانشجو را فارغ‌التحصیل کن.,Recrutez de nouveaux étudiants deux fois.,גייס תלמידים חדשים פעמיים.,Wisudakan mahasiswa dua kali.,Conferisci la laurea a nuovi studenti due volte.,新しく学生が2回卒業,두 번 새 학생을 졸업하세요.,Lediplomáztass új hallgatókat kétszer,Laat twee keer nieuwe studenten afstuderen.,Uteksaminer nye studenter to ganger.,Przyjmij nowych studentów dwukrotnie.,Formar novos alunos duas vezes.,Выпустите новых студентов дважды.,Випустіть нових студентів двічі.,Valmistuta uudet opiskelijat kahdesti.,Tốt nghiệp sinh viên mới hai lần.,Yeni öğrencileri 2 kez mezun et.
AchievementTitle98,I Need More!,احتاج إلى المزيد!,我需要更多！,我需要更多！,Ich brauche mehr!,¡Necesito más!,هنوزم لازم دارم!,J'ai besoin de plus !,אני צריך עוד!,Saya Mau Lagi!,Ho bisogno di più!,もっと必要！,더 필요해요!,Több Kell Nekem!,Ik Heb Er Meer Nodig!,Jeg trenger mer!,Potrzebuję więcej!,Eu preciso de mais!,Мне Нужно Больше!,Мені потрібно більше!,Tarvitsen Enemmän!,Tôi cần nhiều hơn nữa!,Daha Fazla Lazım!
AchievementDesc98,Graduate new students 5 times.,اخرج طلاب جدد 5 مرات.,毕业新生5次。,畢業新生5次。,Promoviere neue Studenten 5 mal.,Gradua estudiantes 5 veces.,5 دانشجو را فارغ‌التحصیل کن.,Recrutez de nouveaux étudiants 5 fois.,גייס תלמידים חדשים 5 פעמים.,Wisudakan mahasiswa 5 kali.,Conferisci la laurea a nuovi studenti 5 volte.,新しく学生が5回卒業,다섯 번 새 학생을 졸업하세요.,Lediplomáztass új hallgatókat 5 alkalommal.,Laat 5 keer nieuwe studenten afstuderen.,Uteksaminer nye studenter 5 ganger.,Przyjmij nowych studentów 5 razy.,Formar novos alunos 5 vezes.,Выпустите новых студентов 5 раз.,Випустіть нових студентів 5 разів.,Valmistuta uudet opiskelijat 5 kertaa.,Tốt nghiệp sinh viên mới 5 lần.,Yeni öğrencileri 5 kez mezun et.
AchievementTitle99,Too Old For This,كبرت على هذا الشيئ,我老了,我老了,Zu alt dafür,No puedo más,دیگه برای این کارا پیر شدم.,Trop vieux pour ça,זקן מדי בשביל זה,Dah Terlalu Tua,Troppo vecchio per questo,これには古すぎる,이러기엔 너무 늙었어요,Túl Öreg Ehhez,Te Oud Hiervoor,For gammel for dette,Jestem na to za stary,Velho demais para isso,Слишком Стар для Этого.,Занадто старий для цього,Liian Vanha Tähän,Quá già cho việc này,Bunun İçin Çok Yaşlı
AchievementDesc99,Graduate new students 10 times.,اخرج طلاب جدد 10 مرات.,毕业新生10次。,畢業新生10次。,Promoviere neue Studenten 10 mal.,Gradua estudiantes 10 veces.,10 دانشجو را فارغ‌التحصیل کن.,Recrutez de nouveaux étudiants 10 fois.,גייס תלמידים חדשים 10 פעמים.,Wisudakan mahasiswa 10 kali.,Conferisci la laurea a nuovi studenti 10 volte.,新しく学生が10回卒業,열 번 새 학생을 졸업하세요.,Lediplomáztass új hallgatókat 10 alkalommal.,Laat 10 keer nieuwe studenten afstuderen.,Uteksaminer nye studenter 10 ganger,Przyjmij nowych studentów 10 razy.,Formar novos alunos 10 vezes.,Выпустите новых студентов 10 раз.,Випустіть нових студентів 10 разів.,Valmistuta uudet opiskelijat 10 kertaa.,Tốt nghiệp sinh viên mới 10 lần.,Yeni öğrencileri 10 kez mezun et.
AchievementTitle100,More of The Same,المزيد من الشيئ نفسه,反复毕业,反復畢業,Mehr vom Gleichen,Mas de lo mismo,اینا هم مثل قبلیا,Davantage des mêmes,עוד מאותו הדבר,"Maba Lagi, Maba Lagi",Più dello stesso,同じやつをもっと,오십보백보,Még Több Ugyanolyan,Meer Van Het Zelfde,Mer av det samme,Więcej tego samego,Mais do mesmo,Больше того Же,Нібито все те ж саме,Enemmän Samaa,Đều giống nhau cả,Aynısından Biraz Daha
AchievementDesc100,Graduate new students 20 times.,اخرج طلاب جدد 20 مرة,毕业新生20次。,畢業新生20次。,Promoviere neue Studenten 20 mal.,Gradua estudiantes 20 veces.,20 دانشجو را فارغ‌التحصیل کن.,Recrutez de nouveaux étudiants 20 fois.,גייס תלמידים חדשים 20 פעמים.,Wisudakan mahasiswa 20 kali.,Conferisci la laurea a nuovi studenti 20 volte.,新しく学生が20回卒業,스무 번 새 학생을 졸업하세요.,Lediplomáztass új hallgatókat 20 alkalommal.,Laat 20 keer nieuwe studenten afstuderen.,Uteksaminer nye studenter 20 ganger,Przyjmij nowych studentów 20 razy.,Formar novos alunos 20 vezes.,Выпустите новых студентов 20 раз.,Випустіть нових студентів 20 разів.,Valmistuta uudet opiskelijat 20 kertaa.,Tốt nghiệp sinh viên mới 20 lần.,Yeni öğrencileri 20 kez mezun et.
AchievementTitle101,White Collar,المدير,白领,白領階級,Bürojob,White Collar,یقه‌سفید,Col blanc,צווארון לבן,Kerah Putih,Colletto bianco,ホワイトカラー,사무직,Fehér Gallér,Witte Boorden,Hvit krage,Biały kołnierzyk,Colarinho branco,Белый воротничок,Білий комірець,Toimistotyöntekijä,Cổ áo màu trắng,Beyaz Yakalı
AchievementTitle102,Puppy of Wall Street,جرو من وول ستريت,华尔街小狗,華爾街菜鳥,Welpe der Wall Street,Cachorro de Wall Street,بچه جوجه وال‌استریت,Chiot de Wall Street,כלבלב של וול סטריט,Anak Anjing dari Wall Street,Cucciolo di Wall Street,ウォールストリートの子犬,월스트리트의 강아지,A Wall Street Kiskutyája,Puppy van Wall Street,Valpen av Wall Street,Szczeniak z Wall Street,Filhote de Wall Street,Щенок с Уолл-стрит,Щеня з Уолл-стріт,Wall Streetin Pentu,Con chó của Phố Wall,Wall Street'in Yavrusu
AchievementTitle103,Jackpot,اليانصيب,大奖,大獎,Jackpot,Lotería,وسط خال,Jackpot,הפרס הגדול,Jackpot,Montepremi,ジャックポット,잭팟,Főnyeremény,Jackpot,Lotto,6 w totka,Prêmio,Джэкпот,Джекпот,Jättipotti,Trúng số,Jackpot
AchievementTitle104,Stonks,قمة الإدارة,Stonks,Stonks,Stonks,Stonks,Stonks,Stonks,זכייה,Iri Bilang Bos,Stonks,木朱,개이득,Stonks,Stonks,Stonks,"O, pisiąt groszy!",Stonks,Stonks,Stonks,Stonks,Stonks,Stonks
AchievementTitle105,Recycling,إعادة التدوير,再利用,再利用,Recycling,Reciclando,بازیافت,Recyclage,מחזור,Daur Ulang,Raccolta differenziata,リサイクル,재활용,Újrahasznosítás,Recycling,Gjenvinning,Recykling,Reciclando,Переработка отходов,Переробка відходів,Kierrättäminen,Tái sử dụng,Geri Dönüşüm
AchievementDesc105,"Start the ""Recurrence Relations"" theory.","إبدأ تشغيل نظرية "" العلاقات التكرارية "".",开启“递推关系”理论。,開啟“遞迴關係”理論。,"Starte die ""Wiederholte Beziehungen"" Theorie.","Comenzá la teoría ""Relaciones de recurrencia"".","نظریه ""روابط بازگشتی"" را شروع نمایید.",Démarrez la théorie des « Relations Récurrentes ».,"התחל את ההשערה ""נוסחת נסיגה"".","Mulailah teori ""Relasi Pengulangan"".","Avvia la teoria ""Relazioni di Ricorrenza"".",「再帰関係」理論の開始,'점화식' 이론을 시작합니다.,"Kezdje el a ""Rekurzív Kapcsolatok"" elméletet..","Start de ""Recurrente Betrekkingen""-theorie.","Start ""Gjentakelsesforhold"" teorien.",Rozpocznij teorię: „Równanie rekurencyjne”.,"Comece a teoria ""Relações de Recorrência"".","Начать теорию ""Рекуррентные соотношения"".","Почати теорію ""Рекурентні співвідношення"".","Käynnistä ""Differensiyhtälö"" teoria.","Khởi động lí thuyết ""Quan hệ lặp lại"".","\quoteYinelemeli İlişkiler"" teorisini başlat."
AchievementTitle106,Pyramid Scheme,مخطط الهرم,层压式推销,層壓式推銷,Pyramidenschema,Esquema de piramide,شرکت هرمی,Vente pyramidale,מזימת פירמידה,Skema Piramida,Schema piramidale,ピラミッド構造,피라미드 계획,Piramis Játék,Pyramideschema,Pyramid Scheme,Piramida finansowa,Esquema de pirâmide,Финансовая Пирамида,Фінансова Піраміда,Pyramidi Huijaus,Mô hình kim tự tháp,Saadet Zinciri
AchievementDesc106,"Start the ""Differential Calculus"" theory.","إبدأ تشغيل نظرية "" حساب التفاضل "".",开启“微分”的理论。,開啟“微分”理論。,"Starte die ""Differentialmathematik"" Theorie.","Comenzá la teoría ""Cálculo diferencial"".","نظریه ""حساب دیفرانسیل"" را شروع نمایید.",Démarrez la théorie du « Calcul différentiel ».,"התחילו את התחילו את ההשערה ""חשבון דיפרנציאלי"".","Mulailah teori ""Kalkulus Diferensial"".","Avvia la teoria ""Calcolo differenziale"".",「微分法」理論の開始,'미분방정식' 이론을 시작합니다.,"Kezdje el a ""Differenciálszámítás"" elméletet.","Start de ""Differentiaal Calculus""-theorie.","Start ""Differensialregning"" teorien.",Rozpocznij teorię: „Rachunek różniczkowy”.,"Comece a teoria do ""Cálculo Diferencial"".","Начать теорию ""Дифференциальные исчисления"".","Почати теорію ""Диференційні обчислення"".","Käynnistä ""Differentiaalilaskenta"" teoria.","Khởi động lí thuyết ""Toán vi phân"".","\quoteDifransiyel Kalkülüs"" teorisini başlat."
AchievementTitle107,Dimensions Matter,الأبعاد مهمة,维度很重要,維度很重要,Dimensionen Zählen,Dimensiones,ابعاد مهم هستند,Les dimensions importent,מימדי מסה,Dimensi Berpengaruh,Le dimensioni contano,次元がものをいう,차원 문제,A Dimenzók Fontosak,Dimensies Doen Er Toe,Dimensjoner betyr noe,Wymiary Materii,Dimensões de Matéria,Измерения Важны,Виміри важливі,Ulottuvuudilla On Merkitystä,Chiều không gian là quan trọng,Önemli Boyutlar
AchievementDesc107,"Start the ""Linear Algebra"" theory.","إبدأ تشغيل نظرية "" الجبر الخطي "".",开启“线性代数”理论。,開啟“線性代數”理論。,"Starte die ""Lineare Algebra"" Theorie.","Comenzá la teoría ""Álgebra lineal"".","نظریه ""جبر خطی"" را شروع نمایید.",Lancer la théorie de « l'algèbre linéaire ».,"התחילו את ההשערה ""אלגברה לינארית"".","Mulailah teori ""Aljabar Linear"".","Avvia la teoria ""Algebra lineare"".",「線形代数」理論の開始,'선형대수학' 이론을 시작합니다.,"Kezdje el a ""Lineáris Algebra"" elméletet.","Start de ""Lineaire Algebra""-theorie.","Start ""Lineær Algebra"" teorien.",Rozpocznij teorię: „Algebra liniowa”.,"Comece a teoria ""Álgebra Linear"".","Начать теорию ""Линейная алгебра"".","Почати теорію ""Лінійна алгебра"".","Käynnistä ""Lineaarialgebra"" teoria.","Khởi động lí thuyết ""Đại số tuyến tính"".","\quoteLineer Cebir"" teorisini başlat."
AchievementTitle108,Back to High School,العودة إلى المدرسة,回到高中,回到高中,Zurück zur Hauptschule,Regreso al colegio,برگشت به دبیرستان,Retour au lycée,בחזרה לתיכון,Balik ke SMA,Torna alle superiori,高校へ戻る,고등학교로 회귀,Vissza a Gimnáziumba,Terug naar de Middelbare,Tilbake til High School,Powrót do Liceum,De volta ao Ensino Médio,Назад в Старшую Школу,Назад до школи,Takaisin Lukioon,Quay lại trường cấp ba,Liseye Dönüş
AchievementDesc108,"Start the ""Polynomials"" theory.","إبدأ تشغيل نظرية "" كثيرات الحدود "".",开启“多项式”理论。,開啟“多項式”理論。,"Starte die ""Polynome"" Theorie","Comenzá la teoría ""Polinomios"".","نظریه ""چندجمله‌ای‌ها"" را شروع نمایید.",Démarrez la théorie des « Polynômes ».,"התחילו את ההשערה ""פולינומים"".","Mulailah teori ""Polinomial"".","Avvia la teoria ""Polinomiali"".",「多項式」理論の開始,'다항식' 이론을 시작합니다.,"Kezdje el a ""Polinomok"" elméletet.","Start de ""Polynomen""-theorie.","Start ""Polynom"" teorien.",Rozpocznij teorię: „Wielomiany” ,"Comece a teoria ""Polinômios"".","Начать теорию ""Многочлены"".","Почати теорію ""Багаточлени"".","Käynnistä ""Polynomit"" teoria.","Khởi động lí thuyết ""Đa thức"".","\quotePolinomlar"" teorisini başlat."
AchievementTitle109,A Negative Sign?,إشارة سلبية؟,负号？,負號？,Ein negatives Zeichen?,¿Un signo negativo?,یک علامت منفی؟,Un signe négatif ?,סימן שלילי?,Tanda Negatif?,Un segno negativo?,負符号？,음의 부호?,Egy Negatív Jel?,Een Negatief Teken?,Et dårlig tegn?,Znak ujemny?,Um sinal negativo?,Отрицательный знак?,Негативний знак?,Negatiivinen Etumerkki?,Một dấu hiệu tiêu cực?,Negatif İşaret?
AchievementDesc109,"Start the ""Logistic Function"" theory.","إبدأ تشغيل نظرية "" الدالة اللوجستية "".",开启“逻辑斯谛函数”理论。,開啟“邏輯函數”理論。,"Starte die ""Logistische Funktion"" Theorie","Comenzá la teoría ""Función logística"".","نظریه ""تابع لجستیک"" را شروع نمایید.",Démarrez la théorie de la « Fonction logistique ».,"התחילו את ההשערה ""פונקציה לוגיסטית"".","Mulailah teori ""Fungsi Logistik"".","Avvia la teoria ""Funzione Logistica"".",「ロジスティック関数」理論の開始,'로지스틱 함수' 이론을 시작합니다.,"Kezdje el a ""Logisztikus Függvény"" elméletet.","Start de ""Logistische Functie""-theorie.","Start ""Logistisk Vekst"" teorien.","Rozpocznij teorię: „Funkcja logistyczna\quote","Comece a teoria da ""Função Logística"".","Начать теорию ""Логистическая функция"".","Почати теорію ""Логістична функція"".","Käynnistä ""Logistinen Funktio"" teoria.","Khởi động lí thuyết ""Hàm logistic"".",mühendislikte lineer cebir
AchievementTitle110,Nightmares,الكوابيس,梦魇,惡夢,Alpträume,Pesadillas,کابوس‌ها,Cauchemars,סיוטים,Menyeramkan,Incubi,悪夢,악몽,Rémálmok,Nachtmerries,Mareritt,Koszmary,Pesadelos,Кошмары,Страхіття,Painajaiset,Những cơn ác mộng,Kabuslar
AchievementDesc110,"Start the ""Integral Calculus"" theory.","إبدأ تشغيل نظرية "" حساب التكامل "".",开启“积分”理论。,開啟“積分”理論。,"Starte die ""Integralmathematik"" Theorie","Comenzá la teoría ""Cálculo integral"".","نظریه ""حساب انتگرال"" را شروع نمایید.",Démarrez la théorie du « Calcul intégral ».,"התחילו את ההשערה ""חשבון אינטגרלי"".","Mulailah teori ""Kalkulus Integral"".","Avvia la teoria ""Calcolo Integrale"".",「積分法」理論の開始,'적분' 이론을 시작합니다.,"Kezdje el az ""Integrálszámítás"" elméletet.","Start de ""Integrale Calculus""-theorie.","Start ""Integral Calculus"" teorien.","Rozpocznij teorię: „Rachunek całkowy\quote","Comece a teoria do ""Cálculo Integral"".","Начать теорию ""Интегральные исчисления"".","Почати теорію ""Інтегральні обчислення"".","Käynnistä ""Integraalilaskenta"" teoria.","Khởi động lí thuyết ""Toán tích phân"".","\quoteİntegral"" teorisini başlat."
AchievementTitle111,Slavery,العبودية,奴隶制,奴隸制,Sklaverei,Esclavitud,بردگی,Esclavagisme,עבדות,Perbudakan,Schiavitù,奴隷,노예 제도,Rabszolgaság,Slavernij,Slaveri,Niewolnictwo,Escravidão,Рабство,Рабство,Orjuus,Nô lệ,Kölelik
AchievementDesc111,"Start the ""Numerical Methods"" theory.","إبدأ تشغيل نظرية "" الطرق العددية "".",开启“数值分析”理论。,開啟“數值分析”理論。,"Starte die ""Numerische Methoden"" Theorie","Comenzá la teoría ""Métodos numéricos"".","نظریه ""محاسبات عددی"" را شروع نمایید.",Démarrez la théorie des « Méthodes numériques ».,"התחילו את ההשערה ""שיטות נומריות"".","Mulailah teori ""Metode Numerik"".","Avvia la teoria ""Metodi Numerici"".",「数値解法」理論の開始,'수치해석학' 이론을 시작합니다.,"Kezdje el a ""Numerikus Módszerek"" elméletet.","Start de ""Numerieke Methodes""-theorie.","Start ""Numeriske Metoder"" teorien.",Rozpocznij teorię „Metody numeryczne”.,"Comece a teoria ""Métodos Numéricos"".","Начать теорию ""Численные методы"".","Почати теорію ""Чисельні методи"".","Käynnistä ""Numeeriset metodit"" teoria.","Khởi động lí thuyết ""Giải tích số"".","\quoteNümerik Analiz"" teorisini başlat."
AchievementTitle112,It Was Predictable,توقعت ذلك,它是可预测的,它是可預測的,Es war vorhersehbar,Era previsible,قابل پیش‌بینی بود,C'était prévisible,זה היה צפוי,Bisa Diprediksi,Era prevedibile,予測可能,예측할 수 있었어요,Ez Várható Volt,Het Was Voorspelbaar,Det var forutsigbart,To było do przewidzenia,Era previsível,Это Было Предсказуемо,Це Було Очікувано,Se Oli Ennakoitavissa,Nó đã từng dễ đoán,Tahmin Edilebilirdi
AchievementDesc112,"Start the ""Chaos"" theory.","إبدأ تشغيل نظرية "" الفوضى "".",开启“混沌”理论。,開啟“混沌”理論。,"Starte die ""Chaos"" Theorie","Comenzá la teoría ""del caos"".","نظریه ""تئوری آشوب"" را شروع نمایید.",Démarrez la théorie du « Chaos ».,"התחילו את ההשערה ""כאוס"".","Mulailah teori ""Kekacauan"".","Avvia la teoria del ""Caos"".",「カオス」理論の開始,'혼돈 이론'을 시작합니다.,"Kezdje el a ""Káosz"" elméletet","Start de ""Chaos""-theorie.","Start ""Kaos"" teorien.",Rozpocznij teorię chaosu.,"Comece a teoria ""Caos"".","Начать теорию ""Хаоса"".","Почати теорію ""Хаосу"".","Käynnistä ""Kaaos"" teoria.","Khởi động lí thuyết ""Hỗn loạn"".","\quoteKaos"" teorisini başlat."
AchievementTitle113,Top Secret,سري جدًا,绝密,最高機密,Streng geheim,Ultra secreto,فوق سری,Top secret,סודי ביותר,Sangat rahasia,Segretissimo,トップシークレット,특급 기밀,Legtitkosabb,Zeer Geheim,Konfidensielt,Ściśle tajne,Ultra Secreto,Совершенно секретно,"Під грифом ""Секретно\quote",Huippusalainen,Tối mật,Çok Gizli
AchievementDesc113,Even translators do not know this one.,حتى المترجمون لا يعرفون هذا.,连翻译菌也不知道这是什么,連譯者都不知道。,Selbst Übersetzer kennen dies nicht.,Ni siquiera los traductores conocen esta.,حتی مترجمان هم این‌یکی را نمی‌دانند.,Même les traducteurs ne connaissent pas celui-ci.,אפילו מתרגמים לא יודעים את התשובה.,Bahkan penerjemah tidak tahu yang satu ini.,Nemmeno i traduttori sanno cosa sia questo.,翻訳者さえもわからない,번역자도 이건 몰라요.,Még a fordítók sem tudják ezt.,Zelfs vertalers kennen deze niet.,Selv oversettere kan ikke denne.,Nawet tłumacze tego nie wiedzą.,Nem os tradutores sabem esse,Даже переводчики не знают это (жаль),(на жаль) Навіть перекладачі не знають це,Edes kääntäjät eivät tiedä tätä.,Ngay cả các dịch giả cũng không biết cái này.,Çevirmenler bile ne olduğunu bilmiyor.
MinigameArrowGameTitle,Arrow Puzzle,لغز السهم,箭头谜题,箭頭謎題,Pfeil Puzzle,Rompecabezas de las flechas,بازی فلش‌ها,Puzzle fléché,פאזל חצים,Teka-teki Panah,Puzzle della Freccia,矢印パズル,화살표 퍼즐,Nyíl Puzzle,Pijlen Puzzel,Arrow Puzzle,STRZAŁECZKI,Puzzle da Seta,Векторная Головоломка,Векторна Головоломка,Nuoleiden palapeli,Xếp hình Mũi tên,Ok Bulmacası
MinigameArrowGameDescription,Make all arrows point upward by tapping tiles.,إجعل جميع الأسهم تشير إلى الأعلى من خلال الضغط على المربعات.,通过点击圆片让所有的箭头朝上。,通過點擊圓片讓所有的箭頭朝上。,Lasse alle Pfeile nach oben zeigen indem zu die Kacheln antippst.,Haz que todas las flechas apunten hacia arriba.,با ضربه زدن روی کاشی‌ها، همه فلش‌ها را رو به بالا نمایید.,Faites pointer toutes les flèches vers le haut en tapant sur les carreaux.,גרום לכל החצים להצביע מעלה בעזרת לחיצה על אריחים.,Mengarahkan semua panah ke atas dengan mengetuk panahnya.,Fai in modo che tutte le frecce puntino verso l'alto toccando le tessere.,タイルをタップしてすべての矢印を上向きにしてください。,타일을 눌러 모든 화살표가 위를 향하게 하세요.,Irányítsa az összes nyílnak a hegyét felfelé a négyzetekre kattintva.,Zorg ervoor dat alle pijlen omhoog wijzen door vakjes aan te tikken.,Få alle pilene til å peke oppover ved å trykke på brikkene.,Spraw aby wszystkie strzałki były skierowane w górę przez klikanie ich (lub wszystkie cyfry były 1),Faça todas as setas apontarem para cima tocando nos ladrilhos.,"Направьте все стрелки вверх, нажимая на плитки.","Направте всі стрілки вгору, натискаючи на плитки.",Saada kaikki nuolet osoittavat ylöspäin napauttamalla laatat.,Làm cho tất cả mũi tên hướng lên trên băng cách nhấn vào các viên gạch.,Karelere tıklayarak tüm okları yukarıya yönlendir.
MathExpPrevValueOf,Previous Value of {0},القيمة السابقة من {0},{0}之前的值,{0}之前的值,vorheriger Wert von {0},Valor anterior de {0},مقدار قبلی متغیر {0},Valeur précédente de {0},הערך הקודם של {0},Nilai {0} yang sebelumnya,Valore precedente di {0},{0}の前回の値,{0}의 이전 값,Előző értéke a {0}-nek,Vorige Waarde van {0},Forrige Verdi av {0},Poprzednia Wartość {0},Valor anterior de {0},Предыдущее значение {0},Попереднє значення {0},Edellinen arvo {0},Giá trị trước đó của {0},{0}'in Önceki Değeri
AchievementTitle114,Child’s Play,للأطفال,跟玩儿一样,跟玩兒一樣,Kinderspiel,Juego de niños,بازی کودکان,Un jeu d'enfant,משחק ילדים,Mudah Sekali,Gioco da ragazzi,子供の遊び,식은 죽 먹기,Gyerekjáték,Kinderspel,Barnemat,Dziecinnie proste,Brincadeira de criança,Детская игра,Дитяча забава,Lastenleikkiä,Trò chơi trẻ con,Çocuk Oyuncağı
AchievementDesc114,Complete the easy 15-Puzzle.,اكمل لغز - 15 السهل,完成简单难度的数字推盘。,完成簡單難度的數字推盤。,Vervollständige das einfache 15-Puzzle.,Complete el juego del 15 en nivel fácil.,بازی پانزده را در درجه سختی آسان به اتمام برسانید.,Résolvez le Taquin en mode en mode « facile »,השלם את פאזל-15 ברמה קלה.,Selesaikan Teka-teki 15 mudah.,Completa il Gioco del 15  facile.,難易度イージーで15パズルを完成させる。,쉬움 난이도의 슬라이드 퍼즐을 완료합니다.,Teljesítse az egyszerű Tili-tolit,Voltooi de makkelijke 15-Puzzel.,"Fullfør det enkle ""15-Puzzle""-et.",Ukończ łatwy poziom piętnastki,Completar o Jogo do 15 Fácil,Соберите пятнашки 3х3,"Пройдіть ""П'ятнашки"" 3х3",Täytä helppo 15-palapeli.,Hoàn thành trò chơi Xếp hình 15 số ở mức độ Dễ.,Kolay seviye 15-Bulmaca tamamla.
AchievementTitle115,Childhood Memory,ذكرى الطفولة,童年记忆,童年記憶,Kindheitserinnerung,Recuerdo de la infancia,خاطرات کودکی,Souvenir d'enfance,זיכרון ילדות,Kenangan Masa Kecil,Ricordo d'infanzia,子供のころの思い出,유년 시절의 기억,Gyerekkori Emlék,Jeugdherinneringen,Barndomsminne,Wspomnienia z dzieciństwa,Memória de Infância,Воспоминания из детства,Спогади з дитинства,lapsuuden muistio,Kí ức tuổi thơ,Çocukluk Anıları
